timestamp,open,high,low,close,volume,datetime
1626465600000,6.75e-06,6.77e-06,6.59e-06,6.62e-06,807985831176.0,2021-07-16 20:00:00
1626480000000,6.63e-06,6.77e-06,6.57e-06,6.6e-06,1244546364756.0,2021-07-17 00:00:00
1626494400000,6.6e-06,6.68e-06,6.56e-06,6.63e-06,750381629938.0,2021-07-17 04:00:00
1626508800000,6.63e-06,6.74e-06,6.58e-06,6.68e-06,1037863617572.0,2021-07-17 08:00:00
1626523200000,6.68e-06,6.74e-06,6.65e-06,6.73e-06,774242239655.0,2021-07-17 12:00:00
1626537600000,6.72e-06,7.05e-06,6.69e-06,6.93e-06,2299835712751.0,2021-07-17 16:00:00
1626552000000,6.93e-06,6.97e-06,6.77e-06,6.81e-06,1007566046553.0,2021-07-17 20:00:00
1626566400000,6.82e-06,7.03e-06,6.79e-06,6.86e-06,1460467775414.0,2021-07-18 00:00:00
1626580800000,6.86e-06,6.88e-06,6.75e-06,6.75e-06,860131012609.0,2021-07-18 04:00:00
1626595200000,6.75e-06,6.8e-06,6.68e-06,6.75e-06,1119850168015.0,2021-07-18 08:00:00
1626609600000,6.75e-06,6.78e-06,6.61e-06,6.64e-06,1142128863075.0,2021-07-18 12:00:00
1626624000000,6.63e-06,6.69e-06,6.61e-06,6.66e-06,748454204955.0,2021-07-18 16:00:00
1626638400000,6.66e-06,6.71e-06,6.6e-06,6.64e-06,794899190931.0,2021-07-18 20:00:00
1626652800000,6.65e-06,6.67e-06,6.38e-06,6.46e-06,1597012410931.0,2021-07-19 00:00:00
1626667200000,6.45e-06,6.58e-06,6.45e-06,6.5e-06,819467849380.0,2021-07-19 04:00:00
1626681600000,6.5e-06,6.53e-06,6.31e-06,6.35e-06,1367096495863.0,2021-07-19 08:00:00
1626696000000,6.35e-06,6.36e-06,6.07e-06,6.18e-06,3058489298220.0,2021-07-19 12:00:00
1626710400000,6.17e-06,6.25e-06,6.15e-06,6.24e-06,964378565116.0,2021-07-19 16:00:00
1626724800000,6.24e-06,6.26e-06,6.13e-06,6.19e-06,737224661163.0,2021-07-19 20:00:00
1626739200000,6.19e-06,6.24e-06,5.7e-06,5.87e-06,2872729235939.0,2021-07-20 00:00:00
